Game,buy_in,cash_out,profit,start_date_time,end_date_time,game_location,time_paused,tournament,Blinds,participants,end_position,notes,Original Order,game_name,blinds_name,kill_status
Bellagio 20 40,$ 1500.00,$ 2791.00,$ 1291.00,Thu Jun 04 20:40:00 CDT 2015,Fri Jun 05 03:40:00 CDT 2015,Bellagio,-,cashgame,20/40,-,-,,274,Limit Holdem,20/40,none
Bellagio 20 40,$ 2000.00,$ 1100.00,$ -900.00,Fri Jun 05 18:11:00 CDT 2015,Fri Jun 05 23:11:00 CDT 2015,Bellagio,-,cashgame,20/40,-,-,,275,Limit Holdem,20/40,none
Bellagio 20 40,$ 1500.00,$ 3355.00,$ 1855.00,Sat Jun 06 02:30:00 CDT 2015,Sat Jun 06 04:00:00 CDT 2015,Bellagio,-,cashgame,20/40,-,-,,276,Limit Holdem,20/40,none
Bellagio 20 40,$ 1500.00,$ 2597.00,$ 1097.00,Sat Jun 06 17:11:00 CDT 2015,Sat Jun 06 20:11:00 CDT 2015,Bellagio,-,cashgame,20/40,-,-,,277,Limit Holdem,20/40,none
Bellagio 20 40,$ 1500.00,$ 2532.00,$ 1032.00,Sun Jun 07 00:30:00 CDT 2015,Sun Jun 07 04:05:00 CDT 2015,Bellagio,-,cashgame,20/40,-,-,,278,Limit Holdem,20/40,none
Bellagio 20 40,$ 5000.00,$ 2707.00,$ -2293.00,Mon Jun 08 18:56:00 CDT 2015,Tue Jun 09 07:56:00 CDT 2015,Bellagio,-,cashgame,20/40,-,-,,279,Limit Holdem,20/40,none
Bellagio 20 40,$ 3000.00,$ 3627.00,$ 627.00,Tue Jun 09 19:41:00 CDT 2015,Wed Jun 10 05:40:00 CDT 2015,Bellagio,-,cashgame,20/40,-,-,,280,Limit Holdem,20/40,none
Bellagio 20 40,$ 1500.00,$ 1773.00,$ 273.00,Wed Jun 10 18:45:00 CDT 2015,Wed Jun 10 20:45:00 CDT 2015,Bellagio,-,cashgame,20/40,-,-,,281,Limit Holdem,20/40,none
Bellagio 20 40,$ 1500.00,$ 2530.00,$ 1030.00,Thu Jun 11 01:12:00 CDT 2015,Thu Jun 11 01:59:00 CDT 2015,Bellagio,-,cashgame,20/40,-,-,,282,Limit Holdem,20/40,none
Bellagio 20 40,$ 1000.00,$ 1575.00,$ 575.00,Thu Jun 11 21:18:00 CDT 2015,Fri Jun 12 11:18:00 CDT 2015,Bellagio,-,cashgame,20/40,-,-,,283,Limit Holdem,20/40,none
Bellagio 20 40,$ 3000.00,$ 0.00,$ -3000.00,Mon Jun 15 18:45:00 CDT 2015,Tue Jun 16 06:45:00 CDT 2015,Bellagio,-,cashgame,20/40,-,-,,284,Limit Holdem,20/40,none
Bellagio 20 40,$ 1000.00,$ 2188.00,$ 1188.00,Tue Jun 16 17:08:00 CDT 2015,Tue Jun 16 23:08:00 CDT 2015,Bellagio,-,cashgame,20/40,-,-,,285,Limit Holdem,20/40,none
Bellagio 20 40,$ 2000.00,$ 2871.00,$ 871.00,Wed Jun 17 17:58:00 CDT 2015,Thu Jun 18 05:58:00 CDT 2015,Bellagio,-,cashgame,20/40,-,-,,286,Limit Holdem,20/40,none
Bellagio 20 40,$ 1500.00,$ 2047.00,$ 547.00,Thu Jun 18 20:56:00 CDT 2015,Fri Jun 19 07:56:00 CDT 2015,Bellagio,-,cashgame,20/40,-,-,,287,Limit Holdem,20/40,none
Bellagio 20 40,$ 2000.00,$ 2673.00,$ 673.00,Fri Jun 19 18:30:00 CDT 2015,Fri Jun 19 22:15:00 CDT 2015,Bellagio,-,cashgame,20/40,-,-,,288,Limit Holdem,20/40,none
Bellagio 20 40,$ 1500.00,$ 2455.00,$ 955.00,Sat Jun 20 20:00:00 CDT 2015,Sat Jun 20 22:22:00 CDT 2015,Bellagio,-,cashgame,20/40,-,-,,289,Limit Holdem,20/40,none
Bellagio 20 40,$ 1000.00,$ 2115.00,$ 1115.00,Sun Jun 21 02:05:00 CDT 2015,Sun Jun 21 03:25:00 CDT 2015,Bellagio,-,cashgame,20/40,-,-,,290,Limit Holdem,20/40,none
Bellagio 20 40,$ 5000.00,$ 0.00,$ -5000.00,Sun Jun 21 17:29:00 CDT 2015,Mon Jun 22 05:29:00 CDT 2015,Bellagio,-,cashgame,20/40,-,-,,291,Limit Holdem,20/40,none
Bellagio 20 40,$ 1000.00,$ 1649.00,$ 649.00,Mon Jun 22 17:30:00 CDT 2015,Mon Jun 22 20:30:00 CDT 2015,Bellagio,-,cashgame,20/40,-,-,,292,Limit Holdem,20/40,none
Bellagio 20 40,$ 2000.00,$ 2282.00,$ 282.00,Tue Jun 23 00:00:00 CDT 2015,Tue Jun 23 05:30:00 CDT 2015,Bellagio,-,cashgame,20/40,-,-,,293,Limit Holdem,20/40,none
Bellagio 20 40,$ 1500.00,$ 1169.00,$ -331.00,Tue Jun 23 19:59:00 CDT 2015,Wed Jun 24 00:59:00 CDT 2015,Bellagio,-,cashgame,20/40,-,-,,294,Limit Holdem,20/40,none
